Testrun_Name,Max_Speed,Distance_m,Long_acc,Pass,Unit Test,System Test,Date
speed_60_LatOff_3.5.erg,60.725,500.035,3.251,1,1,1,2023-04-17
speed_112_LatOff_3.5.erg,110.465,629.837,3.251,1,1,1,2023-04-17
speed_80_LatOff_3.5.erg,80.577,500.053,3.251,1,1,1,2023-04-17
speed_112_LatOff_3.0.erg,110.465,629.999,3.251,1,1,1,2023-04-17
speed_124_LatOff_3.0.erg,110.72,629.905,3.251,1,1,1,2023-04-17
speed_108_LatOff_3.5.erg,108.136,629.835,3.251,1,1,1,2023-04-17
speed_86_LatOff_3.5.erg,86.571,629.905,3.251,1,1,1,2023-04-17
speed_122_LatOff_3.0.erg,110.711,629.895,3.251,1,1,1,2023-04-17
speed_60_LatOff_3.0.erg,60.725,500.035,3.251,1,1,1,2023-04-17
speed_62_LatOff_3.5.erg,62.706,499.955,3.251,1,1,1,2023-04-17
speed_84_LatOff_3.5.erg,84.569,630.014,3.251,1,1,1,2023-04-17
speed_96_LatOff_3.0.erg,96.579,629.916,3.251,1,1,1,2023-04-17
speed_110_LatOff_3.5.erg,110.135,630.073,3.251,1,1,1,2023-04-17
speed_72_LatOff_3.0.erg,72.646,500.054,3.251,1,1,1,2023-04-17
speed_98_LatOff_3.0.erg,98.582,629.891,3.251,1,1,1,2023-04-17
speed_110_LatOff_3.0.erg,110.135,629.863,3.251,1,1,1,2023-04-17
speed_116_LatOff_3.0.erg,110.486,629.991,3.251,1,1,1,2023-04-17
speed_70_LatOff_3.0.erg,70.702,500.015,3.251,1,1,1,2023-04-17
speed_118_LatOff_3.5.erg,110.487,629.851,3.251,1,1,1,2023-04-17
speed_78_LatOff_3.0.erg,78.583,500.071,3.251,1,1,1,2023-04-17
speed_106_LatOff_3.0.erg,106.129,629.92,3.251,1,1,1,2023-04-17
speed_80_LatOff_3.0.erg,80.577,500.053,3.251,1,1,1,2023-04-17
speed_88_LatOff_3.5.erg,88.572,630.006,3.251,1,1,1,2023-04-17
speed_92_LatOff_3.0.erg,92.576,629.94,3.251,1,1,1,2023-04-17
speed_124_LatOff_3.5.erg,110.72,629.87,3.251,1,1,1,2023-04-17
speed_102_LatOff_3.0.erg,102.034,629.85,3.251,1,1,1,2023-04-17
